매물ID,브랜드,inspection_record_no,inspection_accident_flag,inspection_simple_repair_flag,inspection_waterlog_flag,inspection_board_state,inspection_car_state,교환_개수_patch,판금_개수_patch,부식_여부_patch,성능기록부_raw_patch,보험이력건수_patch,내차피해건수_patch,타차가해건수_patch,소유자변경횟수_patch,차량번호변경횟수_patch,도난횟수_patch,전손횟수_patch,침수전손횟수_patch,침수분손횟수_patch,내차피해총액_patch,타차피해총액_patch,보험사고최대금액_patch,보험사고평균금액_patch,부품비총액_patch,공임총액_patch,도장비총액_patch,최근보험사고일_patch,보험오픈여부_patch,광고한줄문구_patch,차량번호_patch,VIN_patch,조회수_patch,찜수_patch,판매자유형_patch,판매자지역_patch,신차가_patch,재등록여부_patch,홈서비스여부_patch,진단차여부_patch,연료_patch,변속기_patch,색상_patch,좌석수_patch,차급_patch,배기량_cc_patch
41187436,현대,7825008518,False,False,False,양호,양호,,,,inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 미세누수 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 원동기 > 커먼레일 : 양호 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 : 없음 || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 :  || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) : 양호 || inners > 변속기 > 수동변속기(M/T) :  || inners > 변속기 > 수동변속기(M/T) > 오일누유 :  || inners > 변속기 > 수동변속기(M/T) > 기어변속장치 :  || inners > 변속기 > 수동변속기(M/T) > 오일유량 및 상태 :  || inners > 변속기 > 수동변속기(M/T) > 작동상태(공회전) :  || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 :  || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 :  || inners > 동력전달 > 디피렌셜 기어 :  || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 :  || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 :  || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,True,엔카 실촬영,392도4233,KMHR381ADMU255536,350,2,DEALER,경기 안산시 단원구,4492,True,True,True,디젤,오토,청색,7,SUV,2199
41383192,현대,3122014761,False,True,False,양호,양호,,,,inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 없음 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 : 없음 || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 :  || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) : 양호 || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 :  || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 :  || inners > 동력전달 > 디피렌셜 기어 : 양호 || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 :  || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 :  || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음 || outers > 프론트 휀더(우) :  || outers > 쿼터 패널(우) : ,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,True,엔카진단/정품네비/하이패스/통풍시트/1인신조/저금리활부!,134수3791,KMHLM41ABNU291961,1257,8,DEALER,충남 천안시 동남구,1995,False,True,True,LPG(일반인 구입),오토,흰색,5,준중형차,1591
41524814,현대,2500028560,False,False,False,양호,양호,,,,"inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 없음 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 : 없음 || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 :  || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) : 양호 || inners > 변속기 > 수동변속기(M/T) :  || inners > 변속기 > 수동변속기(M/T) > 오일누유 :  || inners > 변속기 > 수동변속기(M/T) > 기어변속장치 :  || inners > 변속기 > 수동변속기(M/T) > 오일유량 및 상태 :  || inners > 변속기 > 수동변속기(M/T) > 작동상태(공회전) :  || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 :  || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 :  || inners > 동력전달 > 디피렌셜 기어 :  || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 :  || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 :  || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 고전원전기장치 :  || inners > 고전원전기장치 > 충전구 절연 상태 : 양호 || inners > 고전원전기장치 > 구동축전지 격리 상태 : 양호 || inners > 고전원전기장치 > 고전원전기배선 상태(접속단자, 피복, 보호기구) : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,True,전국최저가/파격할인/1인신조/풍부한옵션/완무/보험이력X/짧은KM,198노4367,KMHP5811BRU005652,2053,25,DEALER,서울 강서구 양천로 390,4764,False,True,True,가솔린+전기,오토,흰색,6,SUV,1598
41485947,현대,9611004815,True,True,False,양호,양호,,,,inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 없음 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 : 없음 || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 : 적정 || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) : 양호 || inners > 변속기 > 수동변속기(M/T) :  || inners > 변속기 > 수동변속기(M/T) > 오일누유 :  || inners > 변속기 > 수동변속기(M/T) > 기어변속장치 :  || inners > 변속기 > 수동변속기(M/T) > 오일유량 및 상태 :  || inners > 변속기 > 수동변속기(M/T) > 작동상태(공회전) :  || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 :  || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 : 양호 || inners > 동력전달 > 디피렌셜 기어 : 양호 || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 : 양호 || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 : 양호 || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음 || outers > 리어 도어(우) :  || outers > 쿼터 패널(좌) : ,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,5014231.0,0.0,4339720.0,4339720.0,1286462.0,1797190.0,1930579.0,2023-01-31,True,주기적소모품교환/전차주병적차량관리/비흡연,319나4118,KMHL141EBMA129297,2110,27,DEALER,서울 강남구 헌릉로745길 37,2631,False,False,False,가솔린,오토,쥐색,5,중형차,1999
41195546,현대,2529905318,False,False,False,양호,양호,,,,inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 없음 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 :  || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 :  || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) :  || inners > 변속기 > 수동변속기(M/T) :  || inners > 변속기 > 수동변속기(M/T) > 오일누유 : 없음 || inners > 변속기 > 수동변속기(M/T) > 기어변속장치 : 양호 || inners > 변속기 > 수동변속기(M/T) > 오일유량 및 상태 :  || inners > 변속기 > 수동변속기(M/T) > 작동상태(공회전) : 양호 || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 : 양호 || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 :  || inners > 동력전달 > 디피렌셜 기어 :  || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 :  || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 :  || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,True,완~전무사고/보험이력 0원 ! / 퍼포먼스 패키지/사제 휠 튜닝!,143고3284,KMHT361HALU006434,979,20,DEALER,서울 강서구,2911,True,True,True,가솔린,수동,하늘색,4,준중형차,1998
41648404,현대,3826002406,False,False,False,양호,양호,,,,inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 없음 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 : 없음 || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 :  || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) : 양호 || inners > 변속기 > 수동변속기(M/T) :  || inners > 변속기 > 수동변속기(M/T) > 오일누유 :  || inners > 변속기 > 수동변속기(M/T) > 기어변속장치 :  || inners > 변속기 > 수동변속기(M/T) > 오일유량 및 상태 :  || inners > 변속기 > 수동변속기(M/T) > 작동상태(공회전) :  || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 :  || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 :  || inners > 동력전달 > 디피렌셜 기어 :  || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 :  || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 :  || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,741450.0,622320.0,968460.0,828125.0,691410.0,257090.0,415270.0,2023-12-01,True,엔카 실촬영,211소7529,KMHLM41EEPU414900,81,1,DEALER,경기 수원시 권선구 평동로79번길 45,2143,False,True,True,가솔린,오토,흰색,5,준중형차,1598
41552633,현대,,True,True,,,,,,,,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,4062780.0,722580.0,2155800.0,1376533.3333333333,1820150.0,1071150.0,1894060.0,2025-10-25,True,엔카에서 직접 촬영한 100% 실매물입니다,811더9950,KMFYDX71BNU045324,1152,17,DEALER,경기 부천시 오정구,2872,False,False,False,디젤,오토,흰색,3,승합차,2199
41056624,현대,9721193981,False,False,False,양호,양호,,,,inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 없음 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 : 없음 || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 :  || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) : 양호 || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 : 양호 || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 :  || inners > 동력전달 > 디피렌셜 기어 :  || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 :  || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 :  || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,True,- 엔카정밀진단완료 -1인신조-완전무사고-키2개-제조사보증잔존-,207가5155,KMHL6412BNA209846,1946,29,DEALER,서울 강서구,2878,True,True,True,가솔린,오토,쥐색,5,중형차,1598
41595091,현대,9800053060,False,False,False,양호,양호,,,,"inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 없음 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 : 없음 || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 :  || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) : 양호 || inners > 변속기 > 수동변속기(M/T) :  || inners > 변속기 > 수동변속기(M/T) > 오일누유 :  || inners > 변속기 > 수동변속기(M/T) > 기어변속장치 :  || inners > 변속기 > 수동변속기(M/T) > 오일유량 및 상태 :  || inners > 변속기 > 수동변속기(M/T) > 작동상태(공회전) :  || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 : 양호 || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 :  || inners > 동력전달 > 디피렌셜 기어 : 양호 || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 :  || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 :  || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 고전원전기장치 :  || inners > 고전원전기장치 > 충전구 절연 상태 : 양호 || inners > 고전원전기장치 > 구동축전지 격리 상태 : 양호 || inners > 고전원전기장치 > 고전원전기배선 상태(접속단자, 피복, 보호기구) : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음",0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,True,완전무사고. 보험이력0원. 파킹어시스트. 키2개. 특S급매물,52너6787,KMHKR81AFNU096969,520,5,DEALER,부산 기장군 반룡산단3로 95,5703,False,True,True,전기,오토,은회색,5,준중형차,111
41528621,현대,6500069027,True,False,False,양호,양호,,,,inners > 자기진단 :  || inners > 자기진단 > 원동기 : 양호 || inners > 자기진단 > 변속기 : 양호 || inners > 원동기 :  || inners > 원동기 > 작동상태(공회전) : 양호 || inners > 원동기 > 오일누유 :  || inners > 원동기 > 오일누유 > 실린더 커버(로커암 커버) : 없음 || inners > 원동기 > 오일누유 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 오일누유 > 실린더 블록 / 오일팬 : 없음 || inners > 원동기 > 오일 유량 : 적정 || inners > 원동기 > 냉각수누수 :  || inners > 원동기 > 냉각수누수 > 실린더 헤드 / 개스킷 : 없음 || inners > 원동기 > 냉각수누수 > 워터펌프 : 없음 || inners > 원동기 > 냉각수누수 > 라디에이터 : 없음 || inners > 원동기 > 냉각수누수 > 냉각수 수량 : 적정 || inners > 원동기 > 커먼레일 : 양호 || inners > 변속기 :  || inners > 변속기 > 자동변속기(A/T) :  || inners > 변속기 > 자동변속기(A/T) > 오일누유 : 없음 || inners > 변속기 > 자동변속기(A/T) > 오일유량 및 상태 :  || inners > 변속기 > 자동변속기(A/T) > 작동상태(공회전) : 양호 || inners > 동력전달 :  || inners > 동력전달 > 클러치 어셈블리 :  || inners > 동력전달 > 등속조인트 : 양호 || inners > 동력전달 > 추친축 및 베어링 :  || inners > 동력전달 > 디피렌셜 기어 :  || inners > 조향 :  || inners > 조향 > 동력조향 작동 오일 누유 : 없음 || inners > 조향 > 작동상태 :  || inners > 조향 > 작동상태 > 스티어링 펌프 :  || inners > 조향 > 작동상태 > 스티어링 기어(MDPS포함) : 양호 || inners > 조향 > 작동상태 > 스티어링 조인트 : 양호 || inners > 조향 > 작동상태 > 파워고압호스 :  || inners > 조향 > 작동상태 > 타이로드엔드 및 볼 조인트 : 양호 || inners > 제동 :  || inners > 제동 > 브레이크 마스터 실린더오일 누유 : 없음 || inners > 제동 > 브레이크 오일 누유 : 없음 || inners > 제동 > 배력장치 상태 : 양호 || inners > 전기 :  || inners > 전기 > 발전기 출력 : 양호 || inners > 전기 > 시동 모터 : 양호 || inners > 전기 > 와이퍼 모터 기능 : 양호 || inners > 전기 > 실내송풍 모터 : 양호 || inners > 전기 > 라디에이터 팬 모터 : 양호 || inners > 전기 > 윈도우 모터 : 양호 || inners > 연료 :  || inners > 연료 > 연료누출(LP가스포함) : 없음 || outers > 쿼터 패널(우) : ,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,1163260.0,0.0,1300774.0,1003587.0,175940.0,335680.0,651640.0,2021-04-29,True,엔카 실촬영,31더9568,KMHE241AGKA473914,519,4,DEALER,경기 수원시 권선구 권선로 341,2763,False,True,False,디젤,오토,검정색,5,중형차,1685
